Unnamed: 0,id,name,RT_Amide6min,RT_Amide12min,RT_Amide23min,RT_RP,RT_RP6min,monoisotopic_mass,formula,smiles,inchikey,inchikey1,IsomericSMILES,RT,MolecularWeight
7613,E4H4,"(4S,5R)-4-hydroxy-3,3,5-trimethyl-4-[(E,3S)-3-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydropyran-2-yl]oxybut-1-enyl]cyclohexanone",,,,268.8,169.2,388.2097182,C19H32O8,C[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)\C=C\[C@@]1(O)[C@H](C)CC(=O)CC1(C)C |r|,QFTPTUOKFIIFJH-UAGWJTNKSA-N,QFTPTUOKFIIFJH,C[C@@H]1CC(=O)CC([C@]1(/C=C/[C@H](C)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)(C)C,2.82,388.45700000000016
7615,D9O9,"(2S,3S,4S,5R,6R)-6-[[(3S,4S,6aR,6bS,8aR,9R,12aS,14bR)-9-hydroxy-4-(hydroxymethyl)-4,6a,6b,8a,11,11,14b-heptamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-5-[(2S,3R,4S,5S)-4,5-dihydroxy-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyl-tetrahydropyran-2-yl]oxy-tetrahydropyran-2-yl]oxy-3,4-dihydroxy-tetrahydropyran-2-carboxylic acid",,283.2,,431.4,246.6,912.5082514,C47H76O17,"[H][C@@]12CC(C)(C)C[C@@H](O)[C@]1(C)CC[C@]1(C)C2=CCC2[C@@]3(C)CC[C@H](O[C@@H]4O[C@@H]([C@@H](O)[C@H](O)[C@H]4O[C@@H]4OC[C@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)C(O)=O)[C@](C)(CO)C3CC[C@@]12C |r,t:17|",IBZLICPLPYSFNZ-HDKBWNSDSA-N,IBZLICPLPYSFNZ,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@H](CO[C@H]2O[C@@H]3[C@H]([C@@H]([C@H](O[C@H]3O[C@H]4CC[C@]5(C([C@@]4(C)CO)CC[C@@]6(C5CC=C7[C@]6(CC[C@@]8([C@H]7CC(C[C@H]8O)(C)C)C)C)C)C)C(=O)O)O)O)O)O)O)O)O,4.11,913.1080000000004
7616,D9L3,"3-[6-[(4R,5S,6R)-4-methoxy-6-methyl-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydropyran-2-yl]oxymethyl]tetrahydropyran-2-yl]oxy-tetrahydropyran-2-yl]oxy-9,13-dimethyl-17-oxo-14-tetracyclo[11.3.1.01,10.04,9]heptadecanyl]-2H-furan-5-one",,,,328.2,198.6,840.414351,C42H64O17,"CO[C@@H]1CC(OC2CCC3(C)C(CCC45CCC(C6=CC(=O)OC6)C(C)(CCC34)C5=O)C2)O[C@H](C)[C@@H]1O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O |r,t:18|",YUXPMUIKXCUNQY-MCRXNTOMSA-N,YUXPMUIKXCUNQY,C[C@@H]1[C@@H]([C@@H](CC(O1)OC2CCC3(C(C2)CCC45C3CCC(C4=O)(C(CC5)C6=CC(=O)OC6)C)C)OC)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O)O)O,3.31,840.9570000000008
7617,E1L2,"2-(1-hydroxy-1-methyl-ethyl)-3-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydropyran-2-yl]oxy-2,3-dihydrofuro[3,2-g]chromen-7-one",51.0,139.2,,271.2,171.0,424.1369471,C20H24O10,CC(C)(O)C1Oc2cc3oc(=O)ccc3cc2C1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O |r|,HGHSJJSYVZPIAW-NWMIEQKASA-N,HGHSJJSYVZPIAW,CC(C)(C1C(C2=C(O1)C=C3C(=C2)C=CC(=O)O3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,2.85,424.4020000000001
7618,D7B0,"(2R)-7-methoxy-2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydropyran-2-yl]oxy-4H-1,4-benzoxazin-3-one",,184.8,,246.6,157.8,357.1059813,C15H19NO9,COc1ccc2NC(=O)[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)Oc2c1 |r|,PMBZSEOAOIYRMW-XFWGRBSCSA-N,PMBZSEOAOIYRMW,COC1=CC2=C(C=C1)NC(=O)[C@H](O2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,2.6300000000000003,357.31500000000005
7619,E3I2,"[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydropyran-2-yl] (1R,4S,5R,9S,10R,13S)-13-[(2S,3R,4S,5R,6R)-5-hydroxy-6-(hydroxymethyl)-4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydropyran-2-yl]oxy-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyl-tetrahydropyran-2-yl]oxy-tetrahydropyran-2-yl]oxy-5,9-dimethyl-14-methylene-tetracyclo[11.2.1.01,10.04,9]hexadecane-5-carboxylate",183.0,321.0,,373.2,220.8,950.4358743,C44H70O22,[H][C@@]12CC[C@@]3(C[C@]1(CC3=C)CC[C@]1([H])[C@@](C)(CCC[C@@]21C)C(=O)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O |r|,QSRAJVGDWKFOGU-WBXIDTKBSA-N,QSRAJVGDWKFOGU,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2O[C@@]34CC[C@H]5[C@@]6(CCC[C@@]([C@H]6CC[C@]5(C3)CC4=C)(C)C(=O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)C)CO)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O)O)O,3.68,951.0220000000012
7621,E3E1,"3,4-bis[4-methoxy-2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydropyran-2-yl]oxy-phenyl]cyclobutane-1,2-dicarboxylic acid",217.2,393.0,,288.6,179.4,712.2214647,C32H40O18,COc1ccc(C2C(C(C2c2ccc(OC)cc2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C(O)=O)C(O)=O)c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c1 |r|,QQRZPCAYYGRGJD-WITGCONHSA-N,QQRZPCAYYGRGJD,COC1=CC(=C(C=C1)C2C(C(C2C(=O)O)C(=O)O)C3=C(C=C(C=C3)OC)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O,2.99,712.6540000000006
7622,E6D0,2-[4-(hydroxymethyl)-2-methyl-benzofuran-6-yl]sulfinylacetic acid,110.4,226.8,,263.4,163.8,268.0405443,C12H12O5S,Cc1cc2c(CO)cc(cc2o1)S(=O)CC(O)=O,LKZLYJMVLBZXMI-UHFFFAOYSA-N,LKZLYJMVLBZXMI,CC1=CC2=C(C=C(C=C2O1)S(=O)CC(=O)O)CO,2.73,268.28999999999996
7623,E3T5,"2-[(1R,4S,5R,7R,8S,10S)-4-hydroxy-5,10-dimethyl-11-oxatricyclo[6.2.1.01,5]undecan-7-yl]prop-2-enoic acid",,184.8,,351.0,209.4,266.1518093,C15H22O4,C[C@H]1C[C@@H]2O[C@]11CC[C@H](O)[C@@]1(C)C[C@@H]2C(=C)C(O)=O |r|,OCDVJJQZCCOISH-WTBCFXLOSA-N,OCDVJJQZCCOISH,C[C@H]1C[C@H]2[C@H](C[C@]3([C@@]1(O2)CC[C@@H]3O)C)C(=C)C(=O)O,3.49,266.33699999999993
7624,E0U5,"(4aR,6aS,9aR)-1,8,8-trimethyl-2-oxo-1,4,4a,6a,7,9-hexahydropentaleno[1,6a-c]pyran-5-carboxylic acid",20.4,43.8,,375.6,222.6,264.1361592,C15H20O4,"[H][C@@]12CC(C)(C)C[C@@]11C(C)C(=O)OC[C@@]1([H])C(=C2)C(O)=O |r,c:18|",MRLXXQBBRNRWDA-DBLSXQDMSA-N,MRLXXQBBRNRWDA,CC1C(=O)OC[C@@H]2[C@]13CC(C[C@H]3C=C2C(=O)O)(C)C,3.71,264.32099999999997
